"SCC.Level.Two" "SCC.Level.Three" "SCC.Level.Four"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Local: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Local: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Rural Local: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Interstate: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Interstate: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Interstate: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Interstate: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Interstate: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Interstate: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Freeways and Expressways: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Freeways and Expressways: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Freeways and Expressways: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Freeways and Expressways: Urban Time 3"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Freeways and Expressways: Urban Time 4"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Freeways and Expressways: Brake Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Freeways and Expressways: Tire Wear"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Freeways and Expressways: Evap (except Refueling)"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Freeways and Expressways: Exhaust"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Urban Other Principal Arterial: Total"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Urban Time 1"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Urban Time 2"
"Highway Vehicles - Gasoline" "Light Duty Gasoline Trucks 1 & 2 (M6) = LDGT1 (M5)" "Other Principal Arterial: Urban Time 3"
